Título,Letra
All I Could do Was Cry," 
I heard church bells ringing
I heard a choir singing
I saw my love 
Walk down the aisle
On her finger, he placed a ring
Ooh, oh
I saw them holding hands
She was standing there 
With my man
I heard them promise 
'Til death do us apart
Each word was a pain 
In my heart
All I could do
All I could do was cry (cry, cry, cry)
All I could do was cry
I was losing the man that I love
And all I could do was cry
And now
The wedding is over
The rice, rice has been thrown 
Over their heads
For them, life has just begun
But mine is ending
Oh- oh, all I could do
All I could do was cry (cry, cry, cry)
All I could do was cry
I was losing the man that I love
And all I could do was cry
 "
All Night," 
I found the truth beneath your lies
And true love never has to hide
(True love never has to hide)
I'll trade your broken wings for mine
(Trade your broken wings for mine)
I've seen your scars and kissed your crime
(Seen your scars and kissed your crime)
So many people that I know, they're just tryna touch ya
Kiss up and rub up and feel up
Kiss up and rub up and feel up on ya
Give you some time to prove that I can trust ya again
I'm gonna kiss up and rub up and feel up
Kiss up and rub up and feel up on you
All night long (all night, all night)
Sweet love all night long (all night, all night)
Sweet love all night long (all night, all night)
Sweet love all night long (all night, all night)
You're all I wanna, ain't no other
We together, I remember
Sweet love all night long (all night, all night)
Our love was stronger than your pride
Beyond your darkness, I'm your light
If you get deep, you touch my mind
(If you get deep, you touch my mind)
Baptize your tears and dry your eyes
(Baptize your tears and dry your eyes)
So many people that I know, they're just tryna touch ya
Kiss up and rub up and feel up
Kiss up and rub up and feel up on ya
Give you some time to prove that I can trust ya again
I'm gonna kiss up and rub up and feel up
Kiss up and rub up and feel up on you
All night long (all night, all night)
Sweet love all night long (all night, all night)
Sweet love all night long (all night, all night)
Sweet love all night long (all night, all night)
You're all I wanna, ain't no other
We together, I remember
Sweet love all night long (all night, all night)
They say true love's the greatest weapon
To win the war caused by pain (pain)
But every diamond has imperfections
But my love's too pure to watch it chip away (chip, chip, chip away)
Oh, nothing real can be threatened
True love breathes salvation back into me
With every tear came redemption
And my torturer became a remedy
So many people that I know, they're just tryna touch ya
Kiss up and rub up and feel up
Kiss up and rub up and feel up on ya
Give you some time to prove that I can trust ya again
I'm gonna kiss up and rub up and feel up
Kiss up and rub up and feel up on you
All night long (all night, all night)
Sweet love all night long (all night, all night)
Sweet love all night long (all night, all night)
Sweet love all night long (all night, all night)
All I wanna, ain't no other
We together, I remember
Sweet love all night long (all night, all night)
How I missed you, my love
 "
ALL UP IN YOUR MIND," 
I try to get all up in your mind
It stops at a crime that I wanna make you mine
I try to get all up in your mind
I'll go and do the time if it means I'll make you mine
My eyes, yeah, I really like your smile
It stops the time, yeah, I'll stay here for a while
You give me that real good feeling that I need
Be careful what you ask for 'cause I just might comply
You need a real wild girl
You need me, all your demons, it's gon' take a little work
It's absurd but I'm gon' say those three words
Yes, I do, I think it's true
I just know I love you (gon' make you mine, minе)
Tell mama that I'd do it for you
The rider always want you, I'll bе groupie for you
It may hurt at first 'cause I'ma make you work
Put me first is what you need
I know you're gonna love me (gon' make you mine, mine)
I try to get all up in your mind
Is my love a crime 'cause I wanna make you mine?
I try to get all up in your mind
I'll go and do the time if it means I'll make you mine
My eyes, yeah, they really like your smile
It stops the time, yeah, I'll stay here for a while
You give me that really good feeling that I need
Why don't you take the time to really notice me?
You need that really wild one (you're mine, you're mine)
I knew that you can't live without her
He know I'm a fuckin' problem
I knew that I could get it out him (you're mine, mine, mine)
I really love you (you know I love you)
Tell mama do it for you (you're mine, mine, mine)
My eyes behold you, this kitty always want you
I'm the only one for you (you're mine, mine, mine)
I try to get all up in your mind
It stops at a crime and I'm gonna make you mine
I try to get all up in your mind
I'll go and do the time if it means I'll make you mine
My eyes, yeah, they like your smile
It stops the time, yeah, I'll stay here for a while
You give me that feeling, feeling that I need
Why don't you take the time to really notice me?
I try to get all up in your mind
It stops at a crime and I'm gonna make you mine
I try to get all up in your mind
Be careful what you ask for 'cause I just might comply
 "
ALREADY (feat. Shatta Wale & Major Lazer)," 
Long live the king, you a king, you know it
King already, already, you know it
Top everything, everything, you know it
King already, already, you know it
Mind, body, soul, got a king body
Body gon' shine, bling bling, body
Calling all the shots, ring ring, body
Crown on your head, got a king body
Long live the king, you a king, you know it
King already, my baby, you know it
Top everything, everything, you know it
King already, already, you know it
Shine already, it's time already
In line already, it's time already
Shine already, it's time already
In line already, it's time already
Try to stop it, me say no, no, no
Royalty say, don't you know, know, know
Try to stop it, me say go, go, go, go
Bubble up and watch it grow, grow, grow, grow
Every king be ruler, be ruler, yeah
Everybody all dey conquer, yeah
Every king be stronger, yeah
King dey rule them long yea, yeah
Remember who you are, ooh
Real king always win, oh
You for be brave, oh
And show your people more love
It's time already, I say it's time already
In line already, I say, line already
Only you got the remedy, I say you got the remedy
Shine your body, shine your body
Long live the king, you a king, you know it
King already, already, you know it
Top everything, everything, you know it
King already, already, you know it
Mind, body, soul, got a king body
Body gon' shine, bling bling, body
Calling all the shots, ring ring, body
Crown on your head, got a king body
Long live the king, you a king, you know it
King already, my baby, you know it
Top everything, everything, you know it
King already, already, you know it
Shine already (already), it's time already (already)
In line already (already), it's time already (already)
Shine already (already), it's time already (already)
In line already (already), it's time already (already)
Shine already (already), it's time already (already)
In line already (already), it's time already (already)
Shine already (already), it's time already (already)
In line already (already), it's time already (already)
Shine already (already), it's time already (already)
In line already (already), it's time already (already)
Shine already (already), it's time already (already)
In line already (already), it's time already (already)
Try to stop it, me say no, no, no
Royalty say, don't you know, know, know
Try to stop it, me say go, go, go, go
Bubble up and watch it grow, grow, grow, grow
Diamonds on my fist, fighting demons y'all
Come and rest your head, take your crown off, oh
Woke up in a foreign, need to take it slow, oh
He said I'm moving too fast, need to take it slow, oh
Take it slow, oh
Take it slow, oh
Tryna take my baby home
Take it slow, oh
Remember who you are, ooh
Real king always win, oh
You for be brave, oh
And show your people more love
It's time already, I say it's time already
In line already, I say, line already
Only you got the remedy, I say you got the remedy
Shine your body, shine your body (ah)
Be your own king
Make nobody come rule your world (yo, yo, yo, yo)
Be your own king
Make nobody come rule your world (ah)
Be your own king
Make nobody come rule your world (yo, yo, yo, yo)
Be your own king
Make nobody come rule your world
Long live the king, you a king, you know it
King already, my baby, you know it
Top everything, everything, you know it
King already, already, you know it
Long live the king, you a king, you know it
Top everything, everything, you know it
Show them the way, you know it
You know it, you know it
 "
AMERICA HAS A PROBLEM," 
America, America has a problem
Heard you got that D for me
Pray your love is deep for me
I'ma make you go weak for me
Make you wait a whole week for me (for me)
I see you watching, fiendin'
I know you want it, schemin'
I know you need it, drug lord
You want it on you? Don't I know
You need love, I need some too
Do you want this like it wants you?
Know that booty gonna do what it want to
Can't hit it one time, multiple
I know you see these ra-ra-racks on me
Now come and get hi-i-i-i-igh
Twenty, forty, eighty, out the trap, hit it with the rap
Put it on the map, then we right back (mm)
Call me when you wanna get hi-i-i-igh
Tony Montana with them racks
Ivy P on my bag, double G's on the dash
Nigga, I'm bad, I'm bad
Tell me when you wanna get hi-i-i-igh
Boy, you can't get no higher than this, no
'Cause love don't get no higher than this, no, no
Grind (grind), boy, you know I grind (grind)
When I pull up these jeans, you're mine
(When I pull up these jeans, you're mine)
You're mine, when I step on the scene they (you're mine, you're mine)
Can't wait to back it up, your ex-dealer dope, but it ain't crack enough
I'm supplying my man, I'm in demand, soon as I land
Just know I roll with them goons
In case you start acting familiar
This kind of love, big business
Whole slab, I kill for
Boy, you can't get no higher than this, no (higher)
'Cause love don't get no higher than this, no, no (higher)
Grind (grind), boy, you know I grind (grind)
When I pull up these jeans, you're mine
(When I pull up these jeans, you're mine)
You're mine, when I step on the scene they (you're mine, you're mine)
Can't wait to back it up, your ex-dealer dope, but it ain't crack enough
I'm supplying my man, I'm in demand, soon as I land
Just know I roll with them goons, in case you start acting familiar
This kind of love, big business, whole slab, I kill for
Know that booty gonna do what it want to
Can't hit it one time, multiple
I know you see these ra-ra-racks on me
Now come and get hi-i-i-i-igh
Twenty, forty, eighty, out the trap, hit it with the rap
Put it on the map, then we right back
Call me when you wanna get hi-i-i-igh
Tony Montana with them racks
Double C's on my bag, double G's on my dash
Nigga, I'm bad, I'm bad
Tell me when you wanna get hi-i-i-igh
 "
AMERICA HAS A PROBLEM (remix) (feat. Kendrick Lamar)," 
(America, America has a problem)
(Lamar)
Turbo line watcher, pgLang collar, 9-11 slider
Look at my garages
Synced up
Get the genie out the bottle and point at any model
(Lamar)
What? What? What? Ayy, what?
(Go, Stink) fuck it up, (go, Stink) fuck it up
(Go, Stink) that's what's up, (go, Stink) I'm in love
Hey, boo-boo, too much complexity to learn me from Google
My momma told me that the money outgrew you
My horoscope said I'm really out my noodle
I'm troublin', I'm puzzlin', it's Sudoku
Say, Bey, yes, America got a problem
Geeked up, choosy lover that chose violence
Universal, please, don't play possum
I'm a businessman doin' as follows
Truthfully, I be lyin' in my rap song
'Cause I always fail to mention I'll slap homie
His career didn't come with no life insurance
Hope his day-one fans got some facts on 'em
I'm an honorary BeyHive, let's see why
Them diamonds don't be fly, they all CGI
You better get it off your chest like breast reduction
If she stressed over you, she stressed for nothin'
Hold up, wait a minute
Even AI gotta practice clonin' Kendrick
The double entendre, the encore remnants
I pop like tin men, the opps need ten men
Billboard, they know (out for us, ride or else)
After Hov, rightfully so (bust for us, not us)
Simmer down, I go, I go (culture, you got us, you got us)
Heard you got that D for me
Pray your love is deep for me
I'ma make you go weak for me
Make you wait a whole week for me (for me)
I see you watchin', fiendin'
I know you want it, schemin'
I know you need it, drug lord
You want it on you?
Don't I know?
You need love
I need some too
Do you want this
Like it wants you?
Know that booty gon' do what it want to
Can't hit it one time, multiple
I know you see these rack-rack-racks on me
Now come and get hi-i-i-i-i-igh
Twenty, forty, eighty out the trap, hit it with the rap
Put it on the map, then we right back
Call me when you wanna get hi-i-i-igh
Tony Montana with the racks
Ivy P on my bag, double G's on my dash
Nigga, I'm bad, I'm bad
Tell me when you wanna get hi-i-i-igh
Boy, you can't get no higher than this
No (no)
'Cause love don't get no higher than this
No (no), no (no), (no)
Grind (grind)
Boy, you know I grind (grind)
When I pull up these jeans, you're mine (when I pull up these jeans, you're mine)
You're mine (you're mine, you're mine)
When I step on the scene, they
Can't wait to back it up
Your ex-dealer dope, but it ain't crack enough
I'm supplyin' my man, I'm in demand soon as I land
Just know I roll with them goons (goons)
In case you start actin' familiar
This kind of love, big business
Whole slab, I kill for
Boy, you can't get no higher than this
No (no)
'Cause love don't get no higher than this
No (no), no (no), (no)
Grind (grind)
Boy, you know I grind (grind)
When I pull up these jeans, you're mine (when I pull up these jeans, you're mine)
You're mine (you're mine, you're mine)
When I step on the scene, they
Can't wait to back it up
Your ex-dealer dope, but it ain't crack enough
I'm supplyin' my man, I'm in demand soon as I land
Just know I roll with them goons (goons)
In case you start actin' familiar
This kind of love, big business
Whole slab, I kill for
Know that booty gon' do what it want to (fam)
Can't hit it one time, multiple
I know you see these rack-rack-racks on me (racks)
Now come and get hi-i-i-i-i-igh
Twenty, forty, eighty out the trap, hit it with the rap
Put it on the map, then we right back (run it back)
Call me when you wanna get hi-i-i-igh
Tony Montana with the racks
Ivy P on my bag, double G's on my dash
Nigga, I'm bad, I'm bad (yeah, yeah, yeah)
Tell me when you wanna get hi-i-i-igh
 "
America The Beautiful," 
O' beautiful, for spacious skies,
For amber waves of grain,
For purple mountain majesties
Above the fruited plain
America, America God shed His grace on thee
And crown thy good with brotherhood
From sea to shining sea
America! Can you felling! Stand up! Sing with me! Ohh
O' beautiful, for spacious skies,
For amber waves of grain,
For purple mountain majesties
Above the fruited plain
America, America God shed His grace on thee
And crown thy good with brotherhood
From sea to shining sea
America, We Are One!
 "
Amor Gitano," 
Ay
Gitana
Ooooooh
Ven y quédate conmigo
Dame el corazón
Vida mía estoy murriendo
Lento en mi prisión
Anda, dime lo que sientes
Quítate el pudor
Y deja de sufrir
Escapa con mi amor
Después te llevaré hasta a dónde quieras
Sin temor y sin fronteras
Hasta dónde sale el sol
Contigo soy capaz de lo que sea
No me importa lo que venga
Porque ya sé a donde voy
Soy tu gitano
Tu peregrino
La única llave de tu destino
El que te cuida más que a su vida
Soy tu ladrón
Soy tu gitana
Tu compañera
La que te sigue
La que te espera
Voy a quererte aunque me saquen el corazón
Y aunque nos cueste la vida
Y aunque duela lo que duela
Esta guerra la ha ganado nuestro amor
Esta guerra la ha ganado
Nuestro amor
Yo nací para tus ojos
Para nadie mas
Siempre voy a estar en tu camino
Alma de mi alma
Corazón de tempestad
Dime por dónde ir
Después te llevaré hasta a dónde quieras
Sin temor y sin fronteras
Hasta dónde sale el sol
Contigo soy capaz de lo que sea
No me importa lo que venga
Porque ya sé a dónde voy
Soy tu gitano
Tu peregrino
La única llave de tu destino
El que te cuida más que a su vida
Soy tu ladrón
Soy tu gitana
Tu companiera
La que te sigue
La que te espera
Voy a quererte aunque me saquen el corazón
Y aunque nos cueste la vida
Y aunque duela lo que duela
Esta guerra la ha ganado nuestro amor
Y aunque nos cueste la vida
Y aunque duela lo que duela
Esta guerra la ha ganado
Nuestro amor
Nuestro amor
Nuestro amor
 "
Angel (feat. Kelly Rowland)," 
This is for my fans (uhu uhu)
This is for my destiny (uhu uhu)
This is for my fans (uhu uhu)
This is for my future love (uhu uhu)
This is for my best friend (uhu uhu)
This is for my future children (uhu uhu)
This is for my mother
This is for the mother future
[verse 1]
You were my best friend
and I love you
You were always there to love me,
when I didn't even love myself
You bring out the best in me
and I thank you
Thank you for my life
Thank you for your refreshing wisdom,
and your strenght
[chorus]
My earthangel
Thank you I'm so gratefull,
For trusting me
And loving me
With you're love
I'm conditionally
My earthangel
Thank you I'm so gratefull
For trusting me
And loving me
With you're love
I'm conditionally
[verse 2]
You are my messenger,
from heaven
No matter how unhappy I become
You always have a way,
to make me smile
And I admire you,
for you're pure heart
You always giving all of you,
to everyone around you
And I pray that we never part
[chorus]
My earthangel
Thank you I'm so gratefull,
For trusting me
And loving me
With you're love
I'm conditionally
My earthangel
Thank you I'm so gratefull
For trusted me
And loving me
With you're love
I'm conditionally
[verse 3]
And if you wasn't for you
And if I didn't know you
And if you never reached me
And if you didn't teach me
I wouldn't be, who I am right now
I wouldn't give, what I give right now
I wouldn't think, what I think right now
I'm thanking you, Im thanking you
[chorus 2x]
My earthangel
Thank you I'm so gratefull,
For trusting me
And loving me
With you're love
I'm conditionally
My earthangel
Thank you I'm so gratefull
For trusting me
And loving me
With you're love
I'm conditionally
 "
"Arise, o Compatriots"," 
Arise, O compatriots,
Nigeria's call obey
To serve our Fatherland
With love and strength and faith.
The labour of our heroes past
Shall never be in vain,
To serve with heart and might
One nation bound in freedom, peace and unity
Peace and unity.
 "
At Last," 
At last my love has come along
My lonely days are over
And life is like a song
Ohh yeah yeah
At last
The skies above are blue
My heart was wrapped up in clover
The night I looked at you
I found a dream, that I could speak to
A dream that I can call my own
I found a thrill to press my cheek to
A thrill that I have never known
Ohh yeah yeah…
You smile, you smile
oh And then the spell was cast
And here we are in heaven
For you are mine at last
 "
Ave Maria," 
She was lost
In so many different ways
Out in the darkness with no guide
I know the cost of a losing hand
But for the grace of God, though, I
You are my heaven on Earth
You are my last, my first
And then I hear this voice inside
Ave Maria
I've been alone
While I'm surrounded by friends
How could the silence be so loud?
But I still go home
Knowing that I've got you
There's only us when the lights go down
You are my heaven on Earth
You are my hunger, my thirst
I always hear this voice inside
Singing, Ave Maria
Sometimes love can come and pass you by
While you're busy making plans
Suddenly hit you and then you realize
It's out of your hands
Baby you've got to understand
You are my heaven on Earth
You are my last, my first
And then I hear this voice inside
Ave Maria, Ave Maria
 "
B-day," 
Ohhhhh
I'm fell fine
Today my day
Today my day
So beyonce
Beyonce
Maybe
Tell me B
Today B-day
Oh baby
Today B-day
Oh day
Baby please
Let me
Come back to me
Baby
Baby
Ohhhhhhh
Baby I'mfell fine
Because of you
You kiss me
Oh
Thank you
You love me
Baby
Today B-day
Tell me
B I love you
Oh my heart
Fell you
Fell you
 "
Baby Boy (feat. Sean Paul)," 
[Sean Paul]
Certified quality
A dat da girl dem need and dem not stop cry without apology
Buck dem da right way, dat my policy
Sean da Paul, alongside Beyoncé
Now hear what da man say
Dutty, yeah, dutty, yo
Dutty, yeah, dutty, yo
Beyoncé, sing it now, yah
[Beyoncé & (Sean Paul)]
Baby boy, you stay on my mind
Fulfill my fantasies
(Come on, girl, tell me how you feel)
I think about you all the time
I see you in my dreams
(Ya dun know this love is real)
Baby boy, not a day goes by
Without my fantasies
(Come on, girl, tell me what's the deal)
I think about you all the time
I see you in my dreams
(Ya dun know this love is real)
Ahh, ohh
My baby's fly, baby, go
Yes, no
Hurt me so good, baby, oh
I'm so
Wrapped up in your love, let me go
Ahh, let me breathe
Stay out my fantasies
[Sean Paul]
Ya ready gimme da ting dat ya ready get ya live
And tell me all about da tings that you will fantasize
I know you dig da way me step da way me make my stride
Follow your feelings, baby girl, because they cannot be denied
Come check me in a night and make we get it amplified
Me have da ting to run da ship 'cause I'm go slip and I'm go slide
And in the words of love I got ta get it certified
But I give you da toughest longest kinda ride, girl
[Beyoncé & (Sean Paul)]
Baby boy, you stay on my mind
Fulfill my fantasies
(Come on, girl, tell me how you feel)
I think about you all the time
I see you in my dreams
(Ya dun know this love is real)
Baby boy, not a day goes by
Without my fantasies
(Come on, girl, tell me what's the deal)
I think about you all the time
I see you in my dreams
(Ya dun know this love is real)
[Beyoncé]
Picture us dancin' real close
In a dark dark corner of a basement party
Every time I close my eyes
It's like everyone left but you and me
In our own little world, the music is the sun
The dance floor becomes the sea
Feels like
True paradise to me, yeah
[Beyoncé & (Sean Paul)]
Baby boy, you stay on my mind
Fulfill my fantasies
(Come on, girl, tell me how you feel)
I think about you all the time
I see you in my dreams
(Ya dun know this love is real)
Baby boy, not a day goes by
Without my fantasies
(Come on, girl, tell me what's the deal)
I think about you all the time
I see you in my dreams
(Ya dun know this love is real)
[Beyoncé]
Baby boy, you stay on my mind
Baby boy, you are so damn fine
Baby boy, won't you be mine?
Baby boy, let's conceive an angel
Baby boy, you stay on my mind
Baby boy, you are so damn fine
Baby boy, won't you be mine?
Baby boy, let's conceive an angel
[Sean Paul]
You so top, top girl
Me and you together is a wrap, dat girl
Drive ‘round da town in a drop top, girl
You nah stop shop girl
Lick a more little dutty, want rock dat world
You so top, top girl
Me and you together is a wrap, dat girl
Drive ‘round da town in a drop top, girl
You nah stop shop girl
Lick a more little dutty, want rock dat world
[Beyoncé & (Sean Paul)]
Baby boy, you stay on my mind
Fulfill my fantasies
(Come on, girl, tell me how you feel)
I think about you all the time
I see you in my dreams
(Ya dun know this love is real)
Baby boy, not a day goes by
Without my fantasies
(Come on, girl, tell me what's the deal)
I think about you all the time
I see you in my dreams
(Ya dun know this love is real)
We stepping in hotter this year
We stepping in hotter this year
I know you gon' like it
I know you gon' like it
I'm stepping in hotter this year
I'm stepping in hotter this year
So don't you fight it
So don't you fight it
 "
Baby Boy (Junior's World Mixshow)," 
Aah, ooh
Beyoncé:
Baby boy, you stay on my mind
Baby boy not a day goes by
Baby boy, baby boy, baby boy
Aah, oh my baby's fly, baby oh
Yes no hurt me so good, baby oh
I'm so wrapped up in your love let me go
Let me breathe, stay out my fantasies
Baby boy, you stay on my mind
Fulfill my fantasies
I think about you all the time
I see you in my dreams
Baby boy, not a day goes by
Without my fantasies (by, by, by, by)
I think about you all the time
I see you in my dreams
Picture us dancin' real close
In a dark dark corner of a basement party
Every time I close my eyes
It's like everyone left but you and me
In our own little world
The music is the sun
The dance floor becomes the sea
Feels like true paradise to me
All right, All right
Aah, ooh
Girl
Baby boy, you stay on my mind
Baby boy, baby boy, baby boy
Baby boy, you stay on my mind
Fulfill my fantasies
I think about you all the time
I see you in my dreams
Baby boy, not a day goes by
Without my fantasies
I think about you all the time
I see you in my dreams
Baby boy, you stay on my mind
Baby boy, you are so damn fine
Baby boy, won't you be mine?
Baby boy, let's conceive an angel
Baby boy, you stay on my mind
Baby boy, you are so damn fine
Baby boy, won't you be mine?
Baby boy, let's conceive an angel
Baby boy, you stay on my mind
Fulfill my fantasies
I think about you all the time
I see you in my dreams
Baby boy, not a day goes by
Without my fantasies
I think about you all the time
I see you in my dreams
We stepping in hotter this year
We stepping in hotter this year
I know you gon' like it
I know you gon' like it
I'm steppin' up hotter this year
I'm steppin' up hotter this year
So don't you fight it
So don't you fight it
 "
